st_case,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,YEAR
10422,4,0,0,0,0,0,0,0,7,0,2001
10423,0,0,0,0,0,0,0,18,8,9,2001
10424,0,0,0,0,0,0,0,17,0,0,2001
10425,17,0,42,32,0,27,30,27,0,8,2001
10426,0,0,0,0,0,0,0,0,0,0,2001
10427,0,35,0,16,21,0,0,0,0,0,2001
10428,0,0,0,0,0,0,0,0,0,14,2001
10429,0,0,0,0,0,0,0,0,0,0,2001
10430,0,0,0,0,0,0,0,0,0,0,2001
10431,0,0,0,0,0,0,0,0,0,0,2001
10432,11,0,0,36,15,31,29,22,21,0,2001
10433,0,19,0,0,0,12,20,18,18,23,2001
10434,0,0,0,0,0,17,0,0,0,0,2001
10435,0,0,0,0,0,0,0,0,0,0,2001
10436,0,0,0,0,0,0,0,0,0,0,2001
10437,0,0,0,0,0,0,0,0,0,0,2001
10438,20,20,20,20,20,20,20,20,20,20,2001
10439,0,7,18,24,7,9,0,0,3,4,2001
10440,0,0,0,0,0,0,0,0,0,0,2001
10441,9,25,0,0,14,0,0,0,0,0,2001
10442,20,0,0,14,0,0,0,40,0,0,2001
10443,0,0,0,11,0,0,0,0,0,0,2001
10444,20,13,14,28,23,17,18,20,18,16,2001
10445,0,0,0,0,8,0,0,0,0,0,2001
10446,9,9,11,28,9,28,9,9,9,18,2001
10447,0,0,0,0,0,0,0,0,0,0,2001
10448,0,0,17,0,7,0,0,0,0,0,2001
10449,25,13,0,0,0,0,0,0,0,13,2001
10450,0,0,0,0,0,30,13,19,23,0,2001
10451,0,0,0,0,0,0,0,0,0,0,2001
10452,26,25,14,20,19,13,2,18,31,20,2001
10453,0,0,17,0,16,0,19,0,23,0,2001
10454,18,22,9,12,14,26,22,25,23,0,2001
10455,18,17,25,16,24,20,18,28,30,28,2001
10456,0,25,0,14,0,0,0,14,10,21,2001
10457,0,0,0,0,0,0,0,0,0,0,2001
10458,9,19,5,33,14,26,13,44,0,23,2001
10459,0,33,4,7,0,11,7,24,0,0,2001
10460,0,0,0,0,0,0,0,0,0,0,2001
10461,5,29,22,27,5,0,20,42,7,26,2001
10462,3,3,3,3,3,3,3,3,3,3,2001
10463,0,0,0,0,0,0,0,0,7,0,2001
10464,0,0,0,0,0,0,0,0,0,0,2001
10465,0,24,8,17,0,23,0,0,3,0,2001
10466,0,0,0,0,0,0,0,0,0,0,2001
10467,19,19,19,19,19,19,19,19,19,19,2001
10468,31,15,11,30,20,12,0,26,16,22,2001
10469,0,0,0,0,0,0,0,0,0,0,2001
10470,0,0,0,0,0,0,0,0,0,0,2001
10471,0,0,0,0,0,5,0,0,11,0,2001
10472,0,0,28,19,0,19,0,16,0,19,2001
10473,0,0,0,29,0,0,0,0,0,0,2001
10474,0,0,0,19,0,0,0,9,0,0,2001
10475,0,0,0,0,0,9,0,0,0,0,2001
10476,10,10,10,10,10,10,10,10,10,10,2001
10477,0,0,0,0,0,0,0,0,0,0,2001
10478,0,0,0,0,0,0,0,0,0,0,2001
10479,0,16,0,0,0,0,0,0,0,0,2001
10480,13,0,0,11,20,31,17,7,19,15,2001
10481,0,0,0,0,0,0,0,0,0,0,2001
10482,0,0,0,3,0,0,0,9,0,0,2001
10483,0,0,0,0,0,0,0,0,0,0,2001
10484,28,46,12,14,25,17,22,29,44,20,2001
10485,0,0,0,0,0,0,0,0,0,0,2001
10486,0,0,0,0,0,0,23,0,0,0,2001
10487,0,9,8,0,16,0,0,0,12,0,2001
10488,0,0,0,0,0,12,0,0,0,0,2001
10489,0,0,0,0,0,0,0,0,0,0,2001
10490,0,0,0,0,0,0,0,0,0,0,2001
10491,5,18,0,0,0,0,9,14,0,0,2001
10492,7,7,7,7,7,7,7,7,7,7,2001
10493,23,4,0,0,12,0,0,7,0,0,2001
10494,20,0,35,13,7,0,0,0,29,20,2001
10495,12,10,20,0,0,15,11,5,0,0,2001
10496,28,18,14,21,30,16,12,11,3,13,2001
10497,0,0,0,0,0,0,0,0,0,0,2001
10498,0,0,0,0,0,0,0,0,0,0,2001
10499,0,0,0,0,0,0,0,0,0,0,2001
10500,0,0,0,0,0,0,0,0,0,0,2001
10501,27,26,19,32,18,22,15,22,7,25,2001
10502,20,15,16,41,19,0,27,6,13,14,2001
10503,17,19,30,14,0,26,0,14,0,10,2001
10504,21,15,10,31,18,21,10,29,21,26,2001
10505,16,0,30,0,19,16,25,17,8,3,2001
10506,0,0,0,0,0,0,0,0,0,0,2001
10507,15,15,15,15,15,15,15,15,15,15,2001
10508,0,0,0,0,0,0,0,30,0,0,2001
10509,0,0,0,0,0,0,0,0,0,0,2001
10510,23,23,23,23,23,23,23,23,23,23,2001
10511,0,0,0,0,0,0,5,0,0,0,2001
10512,0,30,9,11,0,26,0,8,0,0,2001
10513,17,16,16,16,18,35,23,21,16,12,2001
10514,2,2,2,2,2,2,2,2,2,2,2001
10515,2,2,2,2,2,2,2,2,2,2,2001
10516,22,22,22,22,22,22,22,22,22,22,2001
10517,0,0,0,0,0,0,11,42,7,47,2001
10518,15,14,0,0,0,0,0,13,0,12,2001
10519,0,0,0,0,0,0,0,0,0,0,2001
10520,0,0,0,0,0,15,8,0,0,14,2001
10521,0,0,0,0,0,0,0,0,0,0,2001
10522,15,15,15,15,15,15,15,15,15,15,2001
10523,0,0,0,0,0,0,0,0,0,0,2001
10524,0,0,0,0,0,0,0,0,0,0,2001
10525,0,0,0,0,0,0,0,0,0,0,2001
10526,27,27,27,27,27,27,27,27,27,27,2001
10527,14,14,14,14,14,19,19,14,14,21,2001
10528,0,0,0,0,0,0,0,0,9,0,2001
10529,0,0,0,0,0,0,0,0,0,0,2001
10530,0,0,0,0,0,0,0,0,0,11,2001
