ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10266,1,1,1999,15,29,26,0,17,8,26,18,8,13
10267,1,1,1999,23,37,25,4,17,35,14,15,16,49
10268,1,1,1999,0,0,0,0,0,0,0,0,10,0
10268,2,1,1999,0,0,0,0,0,0,0,0,0,0
10269,1,1,1999,0,0,5,0,4,11,0,20,14,0
10270,1,1,1999,0,0,21,0,0,0,0,0,0,0
10271,1,1,1999,0,0,0,0,0,0,0,0,14,0
10272,1,1,1999,23,38,18,12,13,28,12,8,27,14
10272,2,1,1999,0,0,0,0,0,0,0,0,0,0
10273,1,1,1999,0,0,0,0,15,10,24,0,0,6
10273,2,1,1999,0,0,0,8,0,0,0,0,0,0
10274,1,1,1999,0,0,0,0,0,0,0,0,0,0
10275,1,1,1999,0,0,26,0,0,0,0,19,0,0
10276,1,1,1999,31,39,25,22,18,27,37,0,7,28
10277,1,1,1999,9,16,30,0,16,0,23,1,0,15
10278,1,1,1999,31,43,22,7,18,12,22,36,27,15
10279,1,1,1999,0,14,0,15,0,0,0,0,13,0
10279,2,1,1999,0,0,0,0,0,0,0,0,0,0
10280,1,1,1999,0,0,0,0,0,0,0,0,0,0
10280,2,1,1999,0,0,0,0,0,0,0,0,0,14
10281,1,1,1999,0,0,0,0,0,0,0,0,0,0
10281,2,1,1999,0,0,0,0,0,0,0,0,0,0
10282,1,1,1999,0,0,0,0,0,0,0,17,0,0
