YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
2003,2,10184,6,2,2,2,1,1,1,4,2,3,1997,2,2
2003,1,10185,6,2,2,1,1,1,1,4,2,3,2001,2,1
2003,1,10186,1,3,3,2,1,1,2,4,2,3,1999,2,2
2003,2,10186,6,2,2,2,1,1,1,4,2,3,2001,2,2
2003,1,10187,3,2,2,2,1,1,2,4,2,3,1989,2,1
2003,2,10187,1,2,2,2,1,1,2,4,2,3,1993,2,2
2003,1,10188,2,5,5,2,1,1,2,4,2,3,1985,2,2
2003,2,10188,1,2,2,2,1,1,2,4,2,3,2001,2,2
2003,1,10189,3,4,4,2,1,1,2,4,2,3,1993,2,2
2003,2,10189,6,2,2,2,1,1,1,4,1,3,1993,2,2
2003,1,10190,1,2,2,2,2,2,2,4,2,3,1989,2,2
2003,2,10190,1,2,2,2,1,1,2,4,2,3,2002,2,2
2003,1,10191,3,2,2,2,1,1,2,4,2,3,2002,2,2
2003,2,10191,2,2,2,2,3,3,3,4,2,3,1999,2,2
2003,1,10192,7,1,1,2,4,1,2,1,2,3,2000,2,2
2003,1,10193,1,2,2,2,1,1,2,4,1,3,2000,2,2
2003,2,10193,2,2,2,2,1,1,2,4,2,3,1988,2,2
2003,1,10194,9,2,2,2,1,1,1,4,2,3,1994,2,2
2003,1,10195,1,2,2,2,1,1,2,4,2,3,2003,2,2
2003,1,10196,1,2,2,2,1,1,2,4,1,3,1999,2,2
2003,2,10196,6,2,2,2,1,1,1,4,2,3,1995,2,2
2003,1,10197,9,2,2,2,1,1,2,4,1,3,9999,2,2
2003,1,10198,1,2,2,1,2,2,2,4,1,3,1999,2,1
2003,1,10199,6,3,3,2,2,2,2,4,2,3,2002,2,2
2003,2,10199,6,2,2,2,1,1,1,4,2,3,1996,2,2
2003,1,10200,1,2,2,2,1,1,2,4,2,3,1996,2,2
2003,1,10201,1,3,3,2,1,1,2,4,2,3,1989,2,2
2003,2,10201,2,2,2,2,1,1,2,4,2,3,1999,2,2
2003,1,10202,2,2,2,2,2,2,2,4,2,3,1989,2,2
2003,2,10202,4,3,3,2,1,1,1,4,2,3,1992,2,2
2003,1,10203,1,2,2,2,2,2,2,4,2,3,1983,2,2
2003,2,10203,6,2,2,2,1,1,1,4,1,3,1996,2,2
2003,1,10204,1,2,2,2,1,1,2,4,1,3,1988,2,2
2003,2,10204,3,2,2,2,1,1,2,4,2,3,1995,2,2
2003,1,10205,1,2,2,2,1,1,2,4,2,3,1998,2,2
2003,2,10205,1,2,2,2,1,1,2,4,2,3,1998,2,2
2003,1,10206,9,5,5,2,1,1,2,4,2,3,2000,2,2
2003,2,10206,1,2,2,2,2,2,2,4,1,3,1985,2,2
2003,1,10207,1,4,2,2,1,1,2,4,1,3,2002,2,2
2003,1,10208,1,2,2,2,1,1,2,4,2,3,1993,2,2
2003,2,10208,3,5,5,1,1,1,2,4,2,3,1999,2,2
2003,1,10209,1,5,5,2,1,1,2,4,2,3,1994,2,2
2003,1,10210,1,5,5,1,1,1,2,4,1,3,1990,2,2
2003,1,10211,2,3,3,2,1,1,2,4,2,3,1993,2,2
2003,2,10211,4,2,2,2,1,1,2,4,2,3,2002,2,2
2003,1,10212,1,2,2,2,1,1,2,4,2,3,2002,2,2
2003,2,10212,2,4,4,2,1,1,2,4,2,3,1999,2,2
2003,3,10212,1,2,2,2,1,1,2,4,2,3,1991,2,2
2003,1,10213,6,2,2,2,1,1,1,4,2,3,1999,2,2
