VEH_NO,NUMOCCS,BODY_TYP,TRAV_SP,DEFORMED,DEATHS,ST_CASE,DR_DRINK,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,MONTH,Year
1,2,80,98,9,1,483253,0,48.0,1.0,0.0,0.0,7,2003
1,2,80,98,9,1,483254,0,48.0,1.0,0.0,0.0,8,2003
1,1,80,98,9,1,483272,0,48.0,0.0,0.0,0.0,5,2003
1,1,80,98,6,1,483281,1,48.0,0.0,1.0,3.0,10,2003
1,1,80,98,9,1,483287,0,48.0,1.0,0.0,0.0,12,2003
1,1,80,98,6,1,483292,0,17.0,0.0,0.0,0.0,1,2003
2,1,80,98,6,1,483295,0,42.0,0.0,0.0,0.0,3,2003
1,1,80,98,9,1,483296,0,48.0,0.0,0.0,0.0,6,2003
1,1,80,98,6,1,483299,0,48.0,0.0,0.0,0.0,10,2003
1,2,80,98,6,1,483324,0,48.0,0.0,0.0,0.0,6,2003
2,2,80,98,9,2,483339,0,48.0,0.0,0.0,1.0,9,2003
1,1,80,98,9,1,483342,1,48.0,1.0,0.0,1.0,9,2003
1,1,80,98,4,1,483350,0,48.0,1.0,0.0,2.0,12,2003
2,2,80,98,6,1,483355,1,48.0,0.0,1.0,0.0,5,2003
1,1,80,98,4,1,483361,0,48.0,0.0,0.0,0.0,8,2003
1,2,80,98,6,1,483378,1,48.0,3.0,0.0,2.0,10,2003
