YEAR,STATE,ST_CASE,COUNTY,FATALS,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_RD,A_HR,A_DIST,A_DROWSY,BIA,SPJ_INDIAN,INDIAN_RES
2010,1,10135,15,1,1,4,1,2,1,2,3,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2010,1,10136,113,1,1,4,2,2,1,1,5,1,4,2,1,2,2,1,1,2,2,2,2,3,1,1,1,1,2,2,1,2,2,2,2,0,0,0
2010,1,10137,21,1,1,4,1,1,4,2,1,2,1,2,2,1,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,1,2,2,1,0,0,0
2010,1,10138,31,1,1,4,1,2,1,1,4,1,4,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2010,1,10139,123,1,1,4,1,2,4,2,3,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,2,0,0,0
2010,1,10140,127,1,1,4,2,2,1,1,4,1,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
2010,1,10141,15,2,1,4,1,2,3,2,3,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10142,47,1,1,4,1,2,4,2,3,2,1,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
2010,1,10143,5,1,1,4,1,2,4,2,6,2,1,1,2,1,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10144,85,2,1,4,1,2,1,2,5,3,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2010,1,10145,97,1,1,4,1,2,4,2,5,2,1,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10146,125,2,1,4,1,2,4,2,5,2,1,2,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10147,15,1,1,4,1,1,4,2,1,2,1,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10148,3,1,1,4,1,2,4,2,6,2,1,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
2010,1,10149,35,1,1,4,1,1,3,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,0,0,0
2010,1,10150,39,1,1,4,1,2,4,2,3,2,1,2,2,1,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10151,125,1,1,4,1,2,1,2,3,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2010,1,10152,109,1,1,4,1,2,1,2,4,2,3,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,2,2,2,0,0,0
2010,1,10153,29,1,1,4,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
2010,1,10154,113,1,1,4,2,2,1,2,2,2,4,2,1,3,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10155,59,1,1,4,1,2,1,2,5,3,4,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
2010,1,10156,97,1,1,4,2,2,1,1,5,1,4,1,1,2,1,1,1,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
