STATE,ST_CASE,VEH_NO,PER_NO,MSAFEQMT
11,110008,0,1,1
11,110010,0,1,2
11,110012,0,1,1
11,110014,0,1,1
11,110015,0,1,1
11,110016,0,1,1
11,110019,0,1,1
11,110019,0,2,1
11,110021,0,1,1
11,110023,0,1,1
11,110024,0,1,1
12,120010,0,1,1
12,120017,0,1,1
12,120022,0,1,1
12,120023,0,1,1
12,120027,0,1,1
12,120030,0,1,1
12,120033,0,1,1
12,120034,0,1,1
12,120037,0,1,1
12,120038,0,1,1
12,120041,0,1,1
12,120042,0,1,1
12,120051,0,1,8
12,120054,0,1,1
12,120057,0,1,1
12,120060,0,1,1
