ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10486,0,0,0,0,0,0,34,0,0,0
10487,0,37,0,0,0,30,0,9,11,0
10488,0,0,0,0,0,0,0,0,0,0
10489,19,19,19,19,19,19,19,19,19,19
10490,0,0,0,0,0,0,0,0,0,0
10491,0,0,0,0,0,0,0,0,0,0
10492,20,20,20,20,20,20,20,20,20,20
10493,0,0,0,0,0,15,0,0,0,0
10494,26,26,26,26,26,26,26,26,26,26
10495,0,0,13,0,0,0,9,4,0,0
10496,44,44,44,44,44,44,44,44,44,44
10497,13,0,0,0,0,0,0,0,0,0
10498,16,6,11,7,6,17,29,24,23,24
10499,0,0,0,0,0,0,0,0,0,0
10500,22,12,13,8,17,12,8,15,13,5
10501,0,0,0,0,0,0,0,0,0,0
10502,0,0,0,0,8,0,0,25,0,0
10503,0,0,0,0,0,0,0,0,0,0
10504,0,0,0,0,5,0,0,0,0,0
10505,0,0,0,0,0,0,0,0,0,0
10506,0,0,0,0,0,0,0,0,0,0
10507,0,23,26,0,12,0,15,14,13,17
10508,15,0,0,0,0,0,0,16,0,24
10509,24,24,24,24,24,24,24,24,24,24
10510,0,0,0,0,0,0,0,0,0,0
10511,0,0,0,23,0,0,0,9,0,0
10512,0,0,0,0,0,0,0,0,0,0
10513,11,11,11,11,14,11,11,11,11,11
10514,0,0,0,0,0,0,0,0,0,0
10515,0,0,0,27,0,22,0,0,24,0
10516,19,19,19,19,19,19,19,19,19,19
10517,20,20,20,20,20,20,20,20,20,20
10518,0,0,0,0,0,0,0,0,0,0
10519,0,0,0,0,0,0,0,0,0,0
10520,0,0,0,0,0,0,0,0,0,0
10521,0,0,4,0,0,0,0,0,0,0
10522,0,0,0,0,0,0,0,0,0,0
10523,0,0,0,0,0,0,0,0,0,0
10524,0,0,0,0,0,0,0,0,0,0
10525,0,0,0,0,0,0,0,0,0,0
10526,0,0,0,0,23,0,0,0,0,13
10527,0,0,4,0,0,0,0,0,0,0
10528,20,20,20,20,20,20,20,20,20,20
10529,9,28,0,18,0,0,27,0,27,0
10530,0,0,0,0,0,0,0,0,0,0
10531,0,0,0,19,24,7,0,0,0,0
10532,0,0,0,18,6,18,0,0,0,0
10533,0,0,0,0,0,0,0,0,0,0
10534,24,24,24,24,24,24,24,24,24,24
10535,0,0,0,0,14,0,0,0,0,0
10536,0,0,0,0,7,0,0,0,0,0
10537,5,17,7,12,2,0,14,18,13,14
10538,0,0,0,0,0,0,0,0,0,0
10539,0,0,32,0,12,0,0,0,0,18
10540,0,0,0,0,0,0,0,0,0,0
10541,0,0,0,0,0,0,0,0,0,0
10542,68,68,68,68,68,68,68,68,68,68
10543,27,9,7,10,34,14,22,19,12,26
10544,0,0,0,0,0,0,0,0,0,0
10545,23,0,0,0,0,0,22,28,0,0
10546,0,0,12,0,0,20,26,0,0,0
10547,0,21,0,0,0,0,5,0,0,0
10548,0,0,0,0,0,0,0,0,0,0
10549,0,0,0,0,10,0,0,0,0,0
10550,0,0,0,0,0,0,0,0,0,0
10551,6,0,0,0,0,0,0,0,0,0
10552,28,28,28,28,28,28,28,28,28,28
10553,23,23,23,23,23,23,23,23,23,23
10554,0,0,0,0,0,0,0,0,0,0
10555,0,0,0,0,0,0,0,0,0,0
10556,0,0,0,0,0,0,0,0,0,0
10557,30,30,30,30,30,30,30,30,30,30
10558,0,0,0,0,0,0,0,0,0,0
10559,0,0,0,0,0,0,0,10,0,0
10560,0,0,0,0,0,0,0,0,0,0
10561,0,0,0,0,0,0,0,0,0,0
10562,0,0,0,6,0,0,0,0,0,0
10563,0,0,0,0,0,0,0,0,0,0
10564,0,0,0,0,0,0,0,0,12,30
10565,0,0,0,0,0,0,0,0,0,0
10566,0,0,0,0,0,0,0,0,0,0
10567,0,0,0,0,0,0,0,0,0,0
10568,0,13,0,0,0,10,0,0,0,0
10569,0,0,0,0,0,0,0,0,0,0
10570,0,0,0,0,0,0,0,13,0,12
10571,0,0,0,0,0,0,0,0,0,0
10572,0,0,0,0,0,0,0,0,11,0
10573,0,0,0,0,0,0,0,0,0,0
10574,0,0,0,0,0,0,0,0,0,0
10575,31,31,31,31,31,31,31,31,31,31
10576,0,0,0,0,0,0,0,0,0,0
10577,0,0,19,0,26,29,16,15,19,16
10578,0,0,0,0,0,0,0,0,26,0
10579,0,0,0,0,0,0,0,0,0,0
10580,0,18,0,0,0,0,0,0,0,0
10581,31,31,31,31,31,31,31,31,31,31
10582,0,0,0,0,0,0,0,0,0,28
10583,0,0,0,0,0,0,0,0,0,0
10584,12,12,12,12,12,12,12,12,12,12
10585,13,13,13,13,13,13,13,13,13,13
10586,23,23,23,23,23,23,23,23,23,23
10587,18,18,18,18,18,19,29,18,18,18
10588,19,19,19,19,19,19,19,19,19,19
10589,0,0,0,0,0,0,0,0,0,0
10590,0,0,0,0,0,0,0,0,0,0
10591,0,0,0,0,0,0,0,0,0,0
10592,0,20,0,0,10,0,0,0,19,0
10593,27,27,27,27,27,27,27,27,27,27
10594,0,0,0,0,0,0,0,0,0,0
10595,22,22,22,22,22,22,22,22,22,22
10596,6,6,6,6,6,6,6,6,6,6
10597,0,0,0,0,0,0,0,0,0,0
10598,8,0,30,0,10,0,0,14,0,0
10599,11,11,11,11,11,11,11,11,11,11
10600,0,0,0,0,0,0,0,0,0,0
10601,0,0,0,0,0,0,0,0,0,0
10602,12,12,12,12,12,12,12,12,12,12
